Store,Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Holiday_Week,Month,Rolling_Mean
1,2010-02-26,1409727.59,47.0,2.561,211.3196429,8.1,0,February,1576836.025
1,2010-03-05,1554806.68,46.0,2.625,211.3501429,8.1,0,March,1554614.9699999997
1,2010-03-12,1439541.59,58.0,2.667,211.3806429,8.1,0,March,1504011.0075
1,2010-03-19,1472515.79,55.0,2.72,211.215635,8.1,0,March,1469147.9125
1,2010-03-26,1404429.92,51.0,2.732,211.0180424,8.1,0,March,1467823.495
1,2010-04-02,1594968.28,62.0,2.719,210.8204499,7.8,0,April,1477863.895
1,2010-04-09,1545418.53,66.0,2.77,210.6228574,7.8,0,April,1504333.13
1,2010-04-16,1466058.28,66.0,2.808,210.4887,7.8,0,April,1502718.7525
1,2010-04-23,1391256.12,65.0,2.795,210.4391228,7.8,0,April,1499425.3025
1,2010-04-30,1425100.71,67.0,2.78,210.3895456,7.8,0,April,1456958.41
1,2010-05-07,1603955.12,73.0,2.835,210.3399684,7.8,0,May,1471592.5575
1,2010-05-14,1494251.5,75.0,2.854,210.3374261,7.8,0,May,1478640.8625
1,2010-05-21,1399662.07,76.0,2.826,210.6170934,7.8,0,May,1480742.35
1,2010-05-28,1432069.95,80.0,2.759,210.8967606,7.8,0,May,1482484.6600000001
1,2010-06-04,1615524.71,81.0,2.705,211.1764278,7.8,0,June,1485377.0575
1,2010-06-11,1542561.09,80.0,2.668,211.4560951,7.8,0,June,1497454.455
1,2010-06-18,1503284.06,84.0,2.637,211.4537719,7.8,0,June,1523359.9525
1,2010-06-25,1422711.6,84.0,2.653,211.3386526,7.8,0,June,1521020.365
1,2010-07-02,1492418.14,81.0,2.669,211.2235333,7.8,0,July,1490243.7225
1,2010-07-09,1546074.18,80.0,2.642,211.108414,7.8,0,July,1491121.9949999999
1,2010-07-16,1448938.92,83.0,2.623,211.1003854,7.8,0,July,1477535.71
1,2010-07-23,1385065.2,83.0,2.608,211.2351443,7.8,0,July,1468124.1099999999
1,2010-07-30,1371986.6,82.0,2.64,211.3699032,7.8,0,July,1438016.225
